name,sdgs/0/shortName,sdgs/1/shortName,sdgs/2/shortName,sdgs/3/shortName,sdgs/4/shortName,sdgs/5/shortName,sdgs/6/shortName,sdgs/7/shortName,sdgs/8/shortName,sdgs/9/shortName,sdgs/10/shortName,sdgs/11/shortName,sdgs/12/shortName,sdgs/13/shortName,sdgs/14/shortName,sdgs/15/shortName,sdgs/16/shortName
Lebanon,,SDG2,SDG3,,SDG5,,,SDG8,SDG9,,SDG11,,SDG13,SDG14,SDG15,SDG16,
Lesotho,SDG1,SDG2,SDG3,SDG4,,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,,SDG15,SDG16,
Liberia,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,SDG7,,SDG9,,,,SDG13,,SDG15,SDG16,
Luxemburg,,SDG2,,,,,SDG7,,SDG9,,,SDG12,SDG13,,SDG15,,
Macedonia,,SDG2,,SDG4,SDG5,,,SDG8,SDG9,SDG10,,SDG12,SDG13,,SDG15,,
Madagascar,SDG1,SDG2,SDG3,SDG4,,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,SDG15,SDG16,SDG17
Malawi,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,,SDG15,SDG16,SDG17
Malaysia,,SDG2,SDG3,,SDG5,,,,SDG9,SDG10,,SDG12,SDG13,SDG14,SDG15,SDG16,
Maldives,,,,,,,,,,,,,,,,,
Mali,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,,SDG15,SDG16,
Malta,,SDG2,,,SDG5,SDG6,,,,,,SDG12,SDG13,,SDG15,,
Mauritania,,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,,SDG15,SDG16,
Mauritius,,SDG2,,,SDG5,,,,SDG9,,,SDG12,,SDG14,SDG15,SDG16,
Mexico,SDG1,SDG2,SDG3,SDG4,,,SDG7,SDG8,SDG9,SDG10,,,,SDG14,SDG15,SDG16,
Moldova,,,SDG3,SDG4,,,,SDG8,SDG9,,,,,,SDG15,SDG16,
Mongolia,,SDG2,SDG3,,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,,SDG13,,SDG15,SDG16,
Morocco,,SDG2,SDG3,SDG4,SDG5,,SDG7,,SDG9,SDG10,,,,SDG14,,SDG16,
Mozambique,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,,SDG15,SDG16,
Myanmar,SDG1,SDG2,SDG3,SDG4,SDG5,,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,,SDG16,SDG17
Namibia,SDG1,SDG2,SDG3,SDG4,,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,SDG15,SDG16,
Nepal,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,,SDG15,SDG16,
Netherlands,,SDG2,,,,,SDG7,,,,,SDG12,SDG13,SDG14,,,
New Zealand,,SDG2,,,,,,,,,,,SDG13,SDG14,SDG15,,SDG17
Nicaragua,,SDG2,SDG3,,,SDG6,SDG7,SDG8,SDG9,SDG10,,SDG12,,SDG14,SDG15,SDG16,
Niger,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,,SDG15,SDG16,
Nigeria,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,,SDG16,SDG17
Norway,,SDG2,,,,,,,,,,SDG12,SDG13,,,,
Oman,,SDG2,SDG3,,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,SDG15,,SDG17
Pakistan,,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,,SDG16,SDG17
"Palestinian Territory, Occupied",,,,,,,,,,,,,,,,,
Panama,,SDG2,SDG3,,SDG5,SDG6,,,SDG9,SDG10,,,,SDG14,SDG15,SDG16,
Papua New Guinea,,,,,,,,,,,,,,,,,
Paraguay,,,SDG3,SDG4,SDG5,,,SDG8,SDG9,SDG10,,SDG12,,,SDG15,SDG16,
Peru,,SDG2,SDG3,,,,,SDG8,SDG9,SDG10,,,,SDG14,SDG15,SDG16,
Philippines,SDG1,SDG2,SDG3,,,SDG6,,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,SDG15,SDG16,SDG17
